anime_id,Name,Genres,Type,Studios,Source,Duration,Image URL
100,Shin Shirayuki-hime Densetsu Prétear,"Comedy, Drama, Fantasy, Romance",TV,Hal Film Maker,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/9/11709.jpg
101,Air,"Drama, Romance, Supernatural",TV,Kyoto Animation,Visual novel,24 min per ep,https://cdn.myanimelist.net/images/anime/8/22059.jpg
102,Aishiteruze Baby★★,"Comedy, Drama, Romance",TV,TMS Entertainment,Manga,25 min per ep,https://cdn.myanimelist.net/images/anime/2/69665.jpg
103,Akazukin Chacha,"Adventure, Comedy, Fantasy, Romance",TV,Gallop,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/1098/108972.jpg
104,Ayashi no Ceres,"Adventure, Drama, Horror, Romance, Supernatural, Suspense",TV,Pierrot,Manga,21 min per ep,https://cdn.myanimelist.net/images/anime/1928/106202.jpg
105,Boys Be...,"Comedy, Romance, Slice of Life",TV,Hal Film Maker,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/1/2223.jpg
106,Hana yori Dango,"Drama, Romance",TV,Toei Animation,Manga,25 min per ep,https://cdn.myanimelist.net/images/anime/2/42871.jpg
107,Ou Dorobou Jing,"Adventure, Comedy, Fantasy, Sci-Fi",TV,Studio Deen,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/1961/92115.jpg
108,Ou Dorobou Jing in Seventh Heaven,"Adventure, Comedy, Fantasy",OVA,Studio Deen,Manga,30 min per ep,https://cdn.myanimelist.net/images/anime/5/30325.jpg
109,Bakuretsu Tenshi,"Adventure, Comedy, Sci-Fi",TV,Gonzo,Original,23 min per ep,https://cdn.myanimelist.net/images/anime/10/22647.jpg
110,Chuuka Ichiban!,"Action, Comedy, Drama, Gourmet",TV,Nippon Animation,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/6/75283.jpg
111,Corrector Yui,"Adventure, Comedy, Sci-Fi",TV,Nippon Animation,Original,25 min per ep,https://cdn.myanimelist.net/images/anime/1696/105659.jpg
112,Chou Henshin Cosprayers,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",TV,"Imagin, Studio Live",Original,17 min per ep,https://cdn.myanimelist.net/images/anime/5/75236.jpg
113,Uchuu no Stellvia,"Action, Romance, Sci-Fi",TV,Xebec,Original,23 min per ep,https://cdn.myanimelist.net/images/anime/1587/134660.jpg
114,Sakigake!! Cromartie Koukou,Comedy,TV,Production I.G,Manga,12 min per ep,https://cdn.myanimelist.net/images/anime/1782/130913.jpg
115,El Hazard: The Alternative World,"Adventure, Comedy, Fantasy",TV,AIC,Original,25 min per ep,https://cdn.myanimelist.net/images/anime/3/61047.jpg
116,El Hazard: The Wanderers,"Adventure, Comedy, Fantasy, Romance",TV,AIC,Original,23 min per ep,https://cdn.myanimelist.net/images/anime/13/24439.jpg
117,El Hazard: The Magnificent World,"Adventure, Comedy, Fantasy, Romance",OVA,AIC,Original,34 min per ep,https://cdn.myanimelist.net/images/anime/1893/128632.jpg
118,El Hazard 2: The Magnificent World,"Adventure, Comedy, Fantasy",OVA,AIC,Original,30 min per ep,https://cdn.myanimelist.net/images/anime/11/2796.jpg
119,Final Approach,"Comedy, Drama, Romance",TV,"Trinet Entertainment, Zexcs",Visual novel,14 min per ep,https://cdn.myanimelist.net/images/anime/11/14607.jpg
120,Fruits Basket,"Drama, Romance, Supernatural",TV,Studio Deen,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/4/75204.jpg
121,Fullmetal Alchemist,"Action, Adventure, Award Winning, Drama, Fantasy",TV,Bones,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/10/75815.jpg
122,Full Moon wo Sagashite,"Comedy, Drama, Romance, Supernatural",TV,Studio Deen,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/1900/99154.jpg
123,Fushigi Yuugi,"Adventure, Fantasy, Romance",TV,Pierrot,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/2/20140.jpg
124,Fushigi Yuugi: Eikouden,"Adventure, Drama, Fantasy, Romance",OVA,Pierrot,Manga,30 min per ep,https://cdn.myanimelist.net/images/anime/11/67701.jpg
125,Futakoi,"Comedy, Romance",TV,Telecom Animation Film,Original,24 min per ep,https://cdn.myanimelist.net/images/anime/1/125.jpg
126,Futakoi Alternative,"Comedy, Drama, Romance",TV,"ufotable, feel., Studio Flag",Original,24 min per ep,https://cdn.myanimelist.net/images/anime/6/16733.jpg
127,Gate Keepers,"Action, Comedy, Fantasy, Sci-Fi",TV,Gonzo,Game,25 min per ep,https://cdn.myanimelist.net/images/anime/12/15226.jpg
128,Gate Keepers 21,"Action, Drama, Sci-Fi",OVA,Gonzo,Game,25 min per ep,https://cdn.myanimelist.net/images/anime/6/75569.jpg
129,Gensoumaden Saiyuuki,"Action, Adventure, Comedy, Drama, Supernatural",TV,Pierrot,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/11/75282.jpg
130,Saiyuuki Reload,"Action, Adventure, Comedy, Drama, Supernatural",TV,Pierrot,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/1037/134418.jpg
131,Saiyuuki Reload Gunlock,"Action, Adventure, Comedy, Drama, Supernatural",TV,Pierrot,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/1348/134419.jpg
132,GetBackers,"Action, Mystery, Supernatural",TV,Studio Deen,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/4/7547.jpg
133,Green Green,"Comedy, Romance, Ecchi",TV,Studio Matrix,Visual novel,24 min per ep,https://cdn.myanimelist.net/images/anime/7/75251.jpg
134,Gunslinger Girl,"Action, Drama, Sci-Fi",TV,Madhouse,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/5/3088.jpg
135,Hikaru no Go,"Comedy, Drama, Supernatural",TV,Pierrot,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/12/78317.jpg
